theta,A2,a,b,z,status
62,-8,5.8,8.1,0.2,NotYet
62,-8,5.8,8.1,0.4,NotYet
62,-8,5.9,8.0,0.6,NotYet
62,-8,5.9,8.0,0.8,NotYet
62,-6,5.8,8.0,-1.0,NotYet
62,-6,5.8,8.0,-0.8,NotYet
62,-6,5.8,8.0,-0.6,NotYet
62,-6,5.8,8.0,-0.4,NotYet
62,-6,5.8,8.0,-0.2,NotYet
62,-6,5.8,8.0,0.0,NotYet
62,-6,5.8,8.0,0.2,NotYet
62,-6,5.8,8.0,0.4,NotYet
62,-6,5.8,8.0,0.6,NotYet
62,-6,5.9,7.9,0.8,NotYet
62,-4,5.9,7.9,-1.0,NotYet
62,-4,5.9,7.9,-0.8,NotYet
62,-4,5.9,7.9,-0.6,NotYet
62,-4,5.9,7.9,-0.4,NotYet
62,-4,5.9,7.9,-0.2,NotYet
62,-4,5.9,7.9,0.0,NotYet
62,-4,5.9,7.9,0.2,NotYet
62,-4,5.9,7.9,0.4,NotYet
62,-4,5.9,7.9,0.6,NotYet
62,-4,5.9,7.9,0.8,NotYet
62,-2,5.9,7.9,-1.0,NotYet
62,-2,5.9,7.9,-0.8,NotYet
62,-2,5.9,7.9,-0.6,NotYet
62,-2,5.9,7.9,-0.4,NotYet
62,-2,5.9,7.9,-0.2,NotYet
62,-2,5.9,7.9,0.0,NotYet
62,-2,5.9,7.9,0.2,NotYet
62,-2,6.0,7.8,0.4,NotYet
62,-2,6.0,7.8,0.6,NotYet
62,-2,6.0,7.8,0.8,NotYet
62,0,6.0,7.9,-1.0,NotYet
62,0,6.0,7.9,-0.8,NotYet
62,0,6.0,7.9,-0.6,NotYet
62,0,6.0,7.9,-0.4,NotYet
62,0,6.0,7.9,-0.2,NotYet
62,0,6.0,7.9,0.0,NotYet
62,0,6.0,7.8,0.2,NotYet
62,0,6.0,7.8,0.4,NotYet
62,0,6.0,7.8,0.6,NotYet
62,0,6.0,7.9,0.8,NotYet
62,2,6.1,7.9,-1.0,NotYet
62,2,6.1,7.9,-0.8,NotYet
62,2,6.1,7.9,-0.6,NotYet
62,2,6.1,7.9,-0.4,NotYet
62,2,6.1,7.9,-0.2,NotYet
62,2,6.1,7.9,0.0,NotYet
62,2,6.1,7.9,0.2,NotYet
62,2,6.1,7.9,0.4,NotYet
62,2,6.1,7.9,0.6,NotYet
62,2,6.1,7.9,0.8,NotYet
62,4,6.2,7.9,-1.0,NotYet
62,4,6.2,7.9,-0.8,NotYet
62,4,6.2,7.9,-0.6,NotYet
62,4,6.2,7.9,-0.4,NotYet
62,4,6.2,7.9,-0.2,NotYet
62,4,6.2,7.9,0.0,NotYet
62,4,6.2,7.9,0.2,NotYet
62,4,6.2,7.9,0.4,NotYet
62,4,6.2,7.9,0.6,NotYet
62,4,6.2,7.9,0.8,NotYet
62,6,6.3,8.0,-1.0,NotYet
62,6,6.3,8.0,-0.8,NotYet
62,6,6.3,8.0,-0.6,NotYet
62,6,6.3,8.0,-0.4,NotYet
62,6,6.3,8.0,-0.2,NotYet
62,6,6.3,8.0,0.0,NotYet
62,6,6.3,8.0,0.2,NotYet
62,6,6.3,8.0,0.4,NotYet
62,6,6.3,8.0,0.6,NotYet
62,6,6.3,8.0,0.8,NotYet
62,8,6.3,8.1,-1.0,NotYet
62,8,6.3,8.1,-0.8,NotYet
62,8,6.4,8.1,-0.6,NotYet
62,8,6.4,8.1,-0.4,NotYet
62,8,6.4,8.1,-0.2,NotYet
62,8,6.4,8.1,0.0,NotYet
62,8,6.4,8.1,0.2,NotYet
62,8,6.4,8.1,0.4,NotYet
62,8,6.4,8.1,0.6,NotYet
62,8,6.4,8.1,0.8,NotYet
62,10,6.4,8.2,-1.0,NotYet
62,10,6.4,8.2,-0.8,NotYet
62,10,6.4,8.2,-0.6,NotYet
62,10,6.4,8.2,-0.4,NotYet
62,10,6.5,8.2,-0.2,NotYet
62,10,6.5,8.2,0.0,NotYet
62,10,6.5,8.2,0.2,NotYet
62,10,6.5,8.2,0.4,NotYet
62,10,6.4,8.2,0.6,NotYet
62,10,6.4,8.2,0.8,NotYet
64,-10,6.1,7.8,-1.0,NotYet
64,-10,6.1,7.9,-0.8,NotYet
64,-10,6.1,7.9,-0.6,NotYet
64,-10,6.1,7.9,-0.4,NotYet
64,-10,6.0,7.9,-0.2,NotYet
64,-10,6.0,7.9,0.0,NotYet
64,-10,6.0,7.9,0.2,NotYet
64,-10,6.0,7.9,0.4,NotYet
64,-10,6.0,7.9,0.6,NotYet
64,-10,6.0,7.9,0.8,NotYet
64,-8,6.0,7.8,-1.0,NotYet
64,-8,6.0,7.8,-0.8,NotYet
64,-8,6.0,7.8,-0.6,NotYet
64,-8,6.0,7.8,-0.4,NotYet
64,-8,6.0,7.8,-0.2,NotYet
64,-8,6.0,7.8,0.0,NotYet
64,-8,6.0,7.8,0.2,NotYet
64,-8,6.0,7.8,0.4,NotYet
64,-8,6.0,7.8,0.6,NotYet
64,-8,6.0,7.8,0.8,NotYet
64,-6,6.0,7.7,-1.0,NotYet
64,-6,6.0,7.8,-0.8,NotYet
64,-6,6.0,7.8,-0.6,NotYet
64,-6,6.0,7.8,-0.4,NotYet
64,-6,6.0,7.8,-0.2,NotYet
64,-6,6.0,7.8,0.0,NotYet
64,-6,6.0,7.7,0.2,NotYet
64,-6,6.0,7.7,0.4,NotYet
64,-6,6.0,7.7,0.6,NotYet
64,-6,6.0,7.7,0.8,NotYet
64,-4,6.0,7.7,-1.0,NotYet
64,-4,6.0,7.7,-0.8,NotYet
64,-4,6.0,7.7,-0.6,NotYet
64,-4,6.0,7.7,-0.4,NotYet
64,-4,6.0,7.7,-0.2,NotYet
64,-4,6.0,7.7,0.0,NotYet
64,-4,6.0,7.7,0.2,NotYet
64,-4,6.0,7.7,0.4,NotYet
64,-4,6.0,7.7,0.6,NotYet
64,-4,6.0,7.7,0.8,NotYet
64,-2,6.1,7.7,-1.0,NotYet
64,-2,6.1,7.7,-0.8,NotYet
64,-2,6.1,7.7,-0.6,NotYet
64,-2,6.1,7.7,-0.4,NotYet
64,-2,6.1,7.7,-0.2,NotYet
64,-2,6.1,7.6,0.0,NotYet
64,-2,6.1,7.6,0.2,NotYet
64,-2,6.1,7.6,0.4,NotYet
64,-2,6.1,7.6,0.6,NotYet
64,-2,6.1,7.6,0.8,NotYet
64,0,6.1,7.7,-1.0,NotYet
64,0,6.1,7.7,-0.8,NotYet
64,0,6.1,7.7,-0.6,NotYet
64,0,6.1,7.7,-0.4,NotYet
64,0,6.2,7.6,-0.2,NotYet
64,0,6.2,7.6,0.0,NotYet
64,0,6.2,7.6,0.2,NotYet
64,0,6.2,7.6,0.4,NotYet
64,0,6.2,7.6,0.6,NotYet
64,0,6.2,7.6,0.8,NotYet
64,2,6.2,7.7,-1.0,NotYet
64,2,6.2,7.7,-0.8,NotYet
64,2,6.2,7.7,-0.6,NotYet
64,2,6.2,7.7,-0.4,NotYet
64,2,6.3,7.6,-0.2,NotYet
64,2,6.3,7.6,0.0,NotYet
64,2,6.3,7.6,0.2,NotYet
64,2,6.3,7.6,0.4,NotYet
64,2,6.3,7.6,0.6,NotYet
64,2,6.3,7.6,0.8,NotYet
64,4,6.4,7.7,-1.0,NotYet
64,4,6.4,7.7,-0.8,NotYet
64,4,6.4,7.7,-0.6,NotYet
64,4,6.4,7.7,-0.4,NotYet
64,4,6.4,7.7,-0.2,NotYet
64,4,6.4,7.7,0.0,NotYet
64,4,6.4,7.7,0.2,NotYet
64,4,6.4,7.7,0.4,NotYet
64,4,6.4,7.7,0.6,NotYet
64,4,6.4,7.7,0.8,NotYet
64,6,6.4,7.8,-1.0,NotYet
64,6,6.4,7.8,-0.8,NotYet
64,6,6.4,7.8,-0.6,NotYet
64,6,6.5,7.7,-0.4,NotYet
