cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.6,-0.8,13.1,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.318347426,-0.876237394,-0.1399523,-0.271480906,-1.579186646,-0.070244725,-0.327289136,-0.102070777,-0.158847881,-1.938161272,-1.487071943,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.6_cy=-0.8_cz=13.1.log
1.7,-0.8,13.1,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.315108219,-1.109059919,-0.139410132,-0.260592353,-1.687639199,-0.067655618,-0.320530853,-0.098515932,-0.152093991,-1.825747248,-1.446307011,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.7_cy=-0.8_cz=13.1.log
1.6,-0.9,13.1,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.296167457,-0.73891436,-0.145396577,-0.248117454,-1.642127154,-0.074013549,-0.308630753,-0.103298186,-0.154944769,-1.949237451,-1.510087127,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.6_cy=-0.9_cz=13.1.log
1.7,-0.7,13.2,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.280698081,-1.385796849,-0.125586086,-0.266270063,-1.634132677,-0.05802585,-0.325960069,-0.092491837,-0.149010407,-1.757726419,-1.383583621,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.7_cy=-0.7_cz=13.2.log
1.6,-0.7,13.1,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.275857469,-0.982733371,-0.134659881,-0.29711218,-1.510222042,-0.066680468,-0.347518803,-0.100800069,-0.162746601,-1.884715617,-1.458131809,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.6_cy=-0.7_cz=13.1.log
1.6,-0.8,13.3,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.258123409,-1.306529786,-0.122125996,-0.236605156,-1.56466983,-0.05738579,-0.300961326,-0.09194904,-0.145171301,-1.8798361,-1.347028026,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.6_cy=-0.8_cz=13.3.log
1.7,-0.8,13.3,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.252204734,-1.38746226,-0.121900093,-0.226976642,-1.591018975,-0.05523343,-0.295188234,-0.088936992,-0.139243841,-1.829726916,-1.355407167,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.7_cy=-0.8_cz=13.3.log
1.6,-0.7,13.3,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.250628429,-1.36077175,-0.117720876,-0.258744963,-1.541824701,-0.054546934,-0.31908005,-0.0908327,-0.148687867,-1.871645839,-1.313117386,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.6_cy=-0.7_cz=13.3.log
1.5,-0.7,13.2,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.245986424,-1.050175635,-0.126051699,-0.288559219,-1.431003297,-0.062762295,-0.340069004,-0.098989703,-0.162443514,-1.957476029,-1.377766604,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.5_cy=-0.7_cz=13.2.log
1.7,-0.9,13.3,7.45,5.75,25,1.7,1.5,-0.1,-0.3,-5.244525267,-1.311591282,-0.126394319,-0.2080158,-1.594558131,-0.058166412,-0.278805203,-0.089949794,-0.135969494,-1.843571669,-1.386268737,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.1_A2=-0.3_cx=1.7_cy=-0.9_cz=13.3.log
