a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,E_m,machine_type,status,file_name
5.8,8.4,61.5,5,-11,84,-28.12809182,-0.388240437,-7.329912934,-9.39322229,-9.374930374,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.4_phi_r=84_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-11,82,-28.12716311,-0.461677932,-7.123644122,-9.487166813,-9.432146735,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=82_cx=0_cy=0_cz=0.log
5.9,8.3,62.5,5,-11,86,-28.12657325,-0.405277333,-7.0987257,-9.488754413,-9.477007426,-1.656808378,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.3_phi_r=86_cx=0_cy=0_cz=0.log
5.8,8.1,63.5,5,-11,86,-28.12555668,-0.465719097,-6.998123297,-9.59214296,-9.412762952,-1.656808378,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.8_b=8.1_phi_r=86_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-11,85,-28.12500447,-0.420550927,-7.154078357,-9.476179112,-9.424415813,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.3_phi_r=85_cx=0_cy=0_cz=0.log
5.9,8,62.5,5,-11,86,-28.12417616,-0.524692487,-7.0987257,-9.597401494,-9.246548103,-1.656808378,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.0_phi_r=86_cx=0_cy=0_cz=0.log
6,8,62.5,5,-11,85,-28.1237369,-0.526436964,-6.875777673,-9.637574684,-9.434167318,-1.649780266,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=6.0_b=8.0_phi_r=85_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-11,84,-28.12316587,-0.421931449,-7.143354211,-9.479454715,-9.436639708,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.3_phi_r=84_cx=0_cy=0_cz=0.log
5.9,8.3,62.5,5,-11,87,-28.12176025,-0.403802685,-7.109757326,-9.479279012,-9.465812647,-1.663108578,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.3_phi_r=87_cx=0_cy=0_cz=0.log
5.7,8.4,61.5,5,-11,85,-28.12118294,-0.386979142,-7.405295711,-9.388710494,-9.290417327,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.7_b=8.4_phi_r=85_cx=0_cy=0_cz=0.log
5.9,8.3,62.5,5,-11,85,-28.12069976,-0.40662648,-7.088114506,-9.489645477,-9.486533027,-1.649780266,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.3_phi_r=85_cx=0_cy=0_cz=0.log
6,8,62.5,5,-11,87,-28.12016637,-0.522778581,-6.895782691,-9.663001389,-9.375495133,-1.663108578,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=6.0_b=8.0_phi_r=87_cx=0_cy=0_cz=0.log
5.9,8,62.5,5,-11,87,-28.11860387,-0.522778581,-7.109757326,-9.613421825,-9.209537563,-1.663108578,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.0_phi_r=87_cx=0_cy=0_cz=0.log
5.7,8.3,60.5,5,-11,84,-28.11812697,-0.436433205,-7.566289676,-9.378733085,-9.094885211,-1.641785789,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.7_b=8.3_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.4,60.5,5,-11,82,-28.11791361,-0.404285868,-7.391892097,-9.372326207,-9.326881933,-1.622527507,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.8_b=8.4_phi_r=82_cx=0_cy=0_cz=0.log
5.7,8.4,61.5,5,-11,84,-28.11396657,-0.388240437,-7.393234968,-9.385823948,-9.304881433,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.7_b=8.4_phi_r=84_cx=0_cy=0_cz=0.log
5.7,8.3,60.5,5,-11,83,-28.1139352,-0.437845103,-7.554059507,-9.369157282,-9.120180139,-1.632693169,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.7_b=8.3_phi_r=83_cx=0_cy=0_cz=0.log
5.9,8,62.5,5,-11,85,-28.11309433,-0.526436964,-7.088114506,-9.566910783,-9.281851816,-1.649780266,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.0_phi_r=85_cx=0_cy=0_cz=0.log
5.8,8.4,61.5,5,-11,83,-28.1121719,-0.389382505,-7.319100937,-9.387643727,-9.383351558,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.4_phi_r=83_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-11,83,-28.10869549,-0.423186469,-7.133157174,-9.47258348,-9.447075199,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.3_phi_r=83_cx=0_cy=0_cz=0.log
5.7,8.3,61.5,5,-11,83,-28.10839428,-0.423186469,-7.381927238,-9.403425603,-9.267161806,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.7_b=8.3_phi_r=83_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-11,81,-28.10828133,-0.425276077,-7.299095918,-9.374685645,-9.397809388,-1.611414304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=81.0_cx=0_cy=0_cz=0.log
5.7,8.4,59.5,5,-11,82,-28.10233881,-0.418567995,-7.649541428,-9.299855078,-9.111846806,-1.622527507,3,Done,mono-C4-BTBT_theta=59.5_A1=5_A2=-11_a=5.7_b=8.4_phi_r=82_cx=0_cy=0_cz=0.log
5.9,8.3,62.5,5,-11,84,-28.10181171,-0.407850125,-7.078049246,-9.479850046,-9.494276501,-1.641785789,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.9_b=8.3_phi_r=84_cx=0_cy=0_cz=0.log
5.7,8.5,59.5,5,-11,82,-28.10140382,-0.386088078,-7.649541428,-9.257761707,-9.185485105,-1.622527507,3,Done,mono-C4-BTBT_theta=59.5_A1=5_A2=-11_a=5.7_b=8.5_phi_r=82_cx=0_cy=0_cz=0.log
5.7,8.4,59.5,5,-11,83,-28.10127832,-0.417250224,-7.66190965,-9.297771744,-9.091653534,-1.632693169,3,Done,mono-C4-BTBT_theta=59.5_A1=5_A2=-11_a=5.7_b=8.4_phi_r=83_cx=0_cy=0_cz=0.log
5.7,8.5,60.5,5,-11,84,-28.10038726,-0.370450529,-7.566289676,-9.277697699,-9.244163565,-1.641785789,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.7_b=8.5_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.2,63.5,5,-11,85,-28.09905694,-0.428325776,-6.987712906,-9.536376146,-9.496861842,-1.649780266,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=85_cx=0_cy=0_cz=0.log
5.7,8.5,60.5,5,-11,83,-28.09819097,-0.371636522,-7.554059507,-9.285058392,-9.254743384,-1.632693169,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.7_b=8.5_phi_r=83_cx=0_cy=0_cz=0.log
5.7,8.3,60.5,5,-11,82,-28.09505342,-0.439131498,-7.542576073,-9.346943428,-9.143874917,-1.622527507,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.7_b=8.3_phi_r=82_cx=0_cy=0_cz=0.log
5.7,8.4,61.5,5,-11,83,-28.09353485,-0.389382505,-7.381927238,-9.371817924,-9.317714012,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.7_b=8.4_phi_r=83_cx=0_cy=0_cz=0.log
5.7,8.5,59.5,5,-11,81,-28.09212295,-0.38718622,-7.637926218,-9.258778273,-9.196817936,-1.611414304,3,Done,mono-C4-BTBT_theta=59.5_A1=5_A2=-11_a=5.7_b=8.5_phi_r=81_cx=0_cy=0_cz=0.log
5.7,8.4,59.5,5,-11,81,-28.09133229,-0.419766539,-7.637926218,-9.291891976,-9.130333251,-1.611414304,3,Done,mono-C4-BTBT_theta=59.5_A1=5_A2=-11_a=5.7_b=8.4_phi_r=81_cx=0_cy=0_cz=0.log
6,8.2,62.5,5,-11,86,-28.08978861,-0.441239932,-6.885485252,-9.57044994,-9.535805113,-1.656808378,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=6.0_b=8.2_phi_r=86_cx=0_cy=0_cz=0.log
6,8.2,63.5,5,-11,87,-28.08971959,-0.425564732,-6.844006841,-9.57672504,-9.580314397,-1.663108578,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=6.0_b=8.2_phi_r=87_cx=0_cy=0_cz=0.log
6,8.2,63.5,5,-11,88,-28.08672009,-0.423983407,-6.854241529,-9.569722028,-9.569860081,-1.668913046,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=6.0_b=8.2_phi_r=88_cx=0_cy=0_cz=0.log
6,8.2,62.5,5,-11,85,-28.08622436,-0.442720855,-6.875777673,-9.570631918,-9.547313646,-1.649780266,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=6.0_b=8.2_phi_r=85_cx=0_cy=0_cz=0.log
5.7,8.5,60.5,5,-11,82,-28.08505091,-0.37271584,-7.542576073,-9.283608844,-9.26362265,-1.622527507,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.7_b=8.5_phi_r=82_cx=0_cy=0_cz=0.log
6,8.2,62.5,5,-11,87,-28.08245302,-0.439633506,-6.895782691,-9.56139497,-9.522533276,-1.663108578,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=6.0_b=8.2_phi_r=87_cx=0_cy=0_cz=0.log
5.8,8.4,61.5,5,-11,82,-28.08182551,-0.390411621,-7.308784673,-9.370136198,-9.389965513,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.4_phi_r=82_cx=0_cy=0_cz=0.log
