theta,phi,r,z,E,status,machine_type,file_name,E1
40,50,4.2,0.0,-3.4595479713461827,Done,2,C6_theta=40_phi=50_r=4.2_z=0.0.log,0.0
40,55,4.2,0.0,-3.4062560570891947,Done,2,C6_theta=40_phi=55_r=4.2_z=0.0.log,0.0
40,60,4.1,0.0,-2.918573482893408,Done,1,C6_theta=40_phi=60_r=4.1_z=0.0.log,0.0
40,65,4.2,0.0,-2.8325688448385336,Done,1,C6_theta=40_phi=65_r=4.2_z=0.0.log,0.0
40,70,4.4,0.0,-2.737575753504643,Done,2,C6_theta=40_phi=70_r=4.4_z=0.0.log,0.0
40,75,4.6,0.0,-2.4730602082272526,Done,1,C6_theta=40_phi=75_r=4.6_z=0.0.log,0.0
40,80,4.7,0.0,-2.2130570872686803,Done,2,C6_theta=40_phi=80_r=4.7_z=0.0.log,0.0
40,85,4.8,0.0,-2.05045857859659,Done,2,C6_theta=40_phi=85_r=4.8_z=0.0.log,0.0
40,90,4.8,0.0,-1.9938502740114927,Done,1,C6_theta=40_phi=90_r=4.8_z=0.0.log,0.0
45,0,5.2,0.0,-1.577594025467988,Done,2,C6_theta=45_phi=0_r=5.2_z=0.0.log,0.0
45,5,5.1,0.0,-1.660968769225292,Done,1,C6_theta=45_phi=5_r=5.1_z=0.0.log,0.0
45,10,5.1,0.0,-1.7493886932788882,Done,2,C6_theta=45_phi=10_r=5.1_z=0.0.log,0.0
45,15,5.0,0.0,-1.9494834344950505,Done,1,C6_theta=45_phi=15_r=5.0_z=0.0.log,0.0
45,20,4.8,0.0,-2.279401209554635,Done,2,C6_theta=45_phi=20_r=4.8_z=0.0.log,0.0
45,25,4.6,0.0,-2.6182955151598435,Done,2,C6_theta=45_phi=25_r=4.6_z=0.0.log,0.0
45,30,4.4,0.0,-2.8717449216055684,Done,1,C6_theta=45_phi=30_r=4.4_z=0.0.log,0.0
45,35,4.4,0.0,-3.1224251264648046,Done,2,C6_theta=45_phi=35_r=4.4_z=0.0.log,0.0
45,40,4.4,0.0,-3.241060912027024,Done,1,C6_theta=45_phi=40_r=4.4_z=0.0.log,0.0
45,45,4.3,0.0,-3.3838263396464754,Done,1,C6_theta=45_phi=45_r=4.3_z=0.0.log,0.0
45,50,4.3,0.0,-3.4901547715999186,Done,2,C6_theta=45_phi=50_r=4.3_z=0.0.log,0.0
45,55,4.2,0.0,-3.533070807985496,Done,2,C6_theta=45_phi=55_r=4.2_z=0.0.log,0.0
45,60,4.1,0.0,-3.2125625454064,Done,2,C6_theta=45_phi=60_r=4.1_z=0.0.log,0.0
45,65,4.2,0.0,-3.108772391424281,Done,1,C6_theta=45_phi=65_r=4.2_z=0.0.log,0.0
45,70,4.4,0.0,-2.89184218441369,Done,2,C6_theta=45_phi=70_r=4.4_z=0.0.log,0.0
45,75,4.6,0.0,-2.5443566393805668,Done,1,C6_theta=45_phi=75_r=4.6_z=0.0.log,0.0
45,80,4.7,0.0,-2.2636845941015054,Done,1,C6_theta=45_phi=80_r=4.7_z=0.0.log,0.0
45,85,4.8,0.0,-2.084892562357709,Done,2,C6_theta=45_phi=85_r=4.8_z=0.0.log,0.0
45,90,4.8,0.0,-2.032371857902035,Done,2,C6_theta=45_phi=90_r=4.8_z=0.0.log,0.0
50,0,5.2,0.0,-1.5721014305017889,Done,2,C6_theta=50_phi=0_r=5.2_z=0.0.log,0.0
50,5,5.2,0.0,-1.5986469860072248,Done,1,C6_theta=50_phi=5_r=5.2_z=0.0.log,0.0
50,10,5.1,0.0,-1.7432598031009547,Done,1,C6_theta=50_phi=10_r=5.1_z=0.0.log,0.0
50,15,5.0,0.0,-1.938055849808734,Done,2,C6_theta=50_phi=15_r=5.0_z=0.0.log,0.0
50,20,4.8,0.0,-2.221556710283039,Done,1,C6_theta=50_phi=20_r=4.8_z=0.0.log,0.0
50,25,4.6,0.0,-2.4560389994003344,Done,2,C6_theta=50_phi=25_r=4.6_z=0.0.log,0.0
50,30,4.5,0.0,-2.6542097949713934,Done,2,C6_theta=50_phi=30_r=4.5_z=0.0.log,0.0
50,35,4.5,0.0,-2.8172939964570105,Done,1,C6_theta=50_phi=35_r=4.5_z=0.0.log,0.0
50,40,4.5,0.0,-2.9100224041030742,Done,2,C6_theta=50_phi=40_r=4.5_z=0.0.log,0.0
50,45,4.5,0.0,-3.00288886402268,Done,1,C6_theta=50_phi=45_r=4.5_z=0.0.log,0.0
50,50,4.5,0.0,-3.111887351085897,Done,2,C6_theta=50_phi=50_r=4.5_z=0.0.log,0.0
50,55,4.4,0.0,-3.3815378106955905,Done,1,C6_theta=50_phi=55_r=4.4_z=0.0.log,0.0
50,60,4.3,0.0,-3.527149623638252,Done,2,C6_theta=50_phi=60_r=4.3_z=0.0.log,0.0
50,65,4.2,0.0,-3.2775926617032383,Done,2,C6_theta=50_phi=65_r=4.2_z=0.0.log,0.0
