theta,A2,phi,a,b,z,status
70.0,-6.0,30.0,6.3,8.1,-3.4,NotYet
70.0,-14.0,30.0,6.6,8.6,-3.2,NotYet
70.0,-12.0,30.0,6.5,8.4,-3.2,NotYet
70.0,-10.0,30.0,6.4,8.3,-3.2,NotYet
70.0,-8.0,30.0,6.3,8.1,-3.2,NotYet
70.0,-6.0,30.0,6.3,8.1,-3.2,NotYet
70.0,-14.0,30.0,6.6,8.7,-3.0,NotYet
70.0,-12.0,30.0,6.5,8.5,-3.0,NotYet
70.0,-10.0,30.0,6.4,8.3,-3.0,NotYet
70.0,-8.0,30.0,6.3,8.2,-3.0,NotYet
70.0,-6.0,30.0,6.4,8.1,-3.0,NotYet
70.0,-14.0,30.0,6.6,9.0,-2.8,NotYet
70.0,-12.0,30.0,6.5,8.7,-2.8,NotYet
70.0,-10.0,30.0,6.4,8.5,-2.8,NotYet
70.0,-8.0,30.0,6.4,8.2,-2.8,NotYet
70.0,-6.0,30.0,6.4,8.2,-2.8,NotYet
