cx,cy,cz,a,b,theta,z,E,Ei0,Eip1,Eip2,Eip3,Eip4,Eit1,Eit2,Eit3,Eit4,Ei0_,Eip1_,Eip2_,Eip3_,Eip4_,Eit1_,Eit2_,Eit3_,Eit4_,status,file_name,machine_type
-1.5,-0.3,8.8,7.0,4.8,45,-1.3,-2.463437656071619,-0.6557259871478891,-0.0161677951691672,-0.7218373031937517,-0.0127692009700695,-0.0680509494268335,-0.0317300431488547,-0.2348864056548336,-0.9639582716190488,-0.0942061937530525,-0.6737706646963488,-0.0166522328800056,-0.6494866552384337,-0.0127993214846355,-0.0674730127357179,-0.0252880254702176,-0.1205038828775286,-0.4533885252021719,-0.1081808414746774,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-1.5_cy=-0.3_cz=8.8.log,3
-1.4,-0.4,8.8,7.0,4.8,45,-1.3,-2.527285543576,-0.6340699895517901,-0.0157705813035136,-0.8007309979439015,-0.0133571778715122,-0.0632831284892745,-0.0322565240494441,-0.2679524176055565,-0.9765580449457048,-0.0863811440649442,-0.657794260099763,-0.0162004256562795,-0.7322112985275453,-0.0134004760475363,-0.0626135753263952,-0.025802583710174,-0.1342237614589976,-0.4222138283657841,-0.0997508721338817,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-1.4_cy=-0.4_cz=8.8.log,3
-1.3,-0.5,8.9,7.0,4.8,45,-1.3,-2.6272274924776866,-0.6414357019239105,-0.0145770572707988,-0.8399240175058367,-0.013486444906448,-0.0554605888173682,-0.0308402339724125,-0.2844753833778668,-0.9379799851449206,-0.0727070736757014,-0.6716735263034934,-0.0149316004681168,-0.780930547407479,-0.0135404107859358,-0.0547872705792542,-0.024958582711406,-0.1409236857725773,-0.577993185914238,-0.0838296884176088,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-1.3_cy=-0.5_cz=8.9.log,3
-1.2,-0.6,8.9,7.0,4.8,45,-1.3,-2.7084056374733336,-0.6292833432817133,-0.0141974137659417,-0.9156073711201316,-0.0140919920668238,-0.0516879987117135,-0.031248115497874,-0.3225796731130685,-0.9367852061259327,-0.0669465318642323,-0.664069987644325,-0.0145067761768586,-0.8658382980065653,-0.0141603906813543,-0.0510146804881515,-0.0253877995710354,-0.1574868121970212,-0.5643624136719154,-0.0775564709620084,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-1.2_cy=-0.6_cz=8.9.log,3
-1.1,-0.7,8.9,7.0,4.8,45,-1.3,-2.791052783242776,-0.6191358790383674,-0.0138146326498826,-0.9853017692803404,-0.0147195020545041,-0.048224770987872,-0.0316120712959673,-0.3642099415883422,-0.9306469032744644,-0.0617344338097609,-0.6573976737854537,-0.0140819519292563,-0.948866028629709,-0.0148042159416945,-0.0475596104224678,-0.0257856409007217,-0.1766151995252585,-0.555795019652578,-0.0718003217189107,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-1.1_cy=-0.7_cz=8.9.log,3
-1.0,-0.9,9.0,7.0,4.8,45,-1.3,-2.8797971298990888,-0.6347627605864545,-0.012324923867709,-1.0418517154175788,-0.0147345623117871,-0.0423581800569081,-0.0292269057681551,-0.3956657628295943,-0.8846516753110336,-0.0508057196275331,-0.6777848461642861,-0.0125250996061367,-1.0302885886922013,-0.0148418665048666,-0.0416798417136305,-0.0241848628938896,-0.1904292046674527,-0.6027402977633756,-0.0587374460155842,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-1.0_cy=-0.9_cz=9.0.log,3
-0.9,-0.9,8.9,7.0,4.8,45,-1.3,-2.937583270853793,-0.6100576918688603,-0.0130440503708086,-1.076448851803434,-0.0160391555837122,-0.0420801930886227,-0.0321962830930715,-0.4576273552520433,-0.903200243395986,-0.052702682398376,-0.6512298780289711,-0.0132354409433901,-1.0823945090378402,-0.016163402586244,-0.0414250726462341,-0.0264796669507632,-0.2224221745273098,-0.5568473539024126,-0.0615725362295052,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-0.9_cy=-0.9_cz=8.9.log,3
-0.8,-0.9,9.0,7.0,4.8,45,-1.3,-2.94538824025949,-0.6181099002133124,-0.0124767813540529,-1.0452998829132412,-0.0162136033613933,-0.0376763278909493,-0.0314721365721197,-0.4596692728227936,-0.8061545669042971,-0.0472816234832862,-0.6558954148204066,-0.0126399339205818,-1.051005831337534,-0.0163365953631,-0.0371410618827212,-0.0260780606040498,-0.2261370337218977,-0.7360598173545441,-0.0551286359986988,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-0.8_cy=-0.9_cz=9.0.log,3
-0.7,-0.9,9.0,7.0,4.8,45,-1.3,-2.95851229812979,-0.6075940876471577,-0.0125426698650699,-1.0452126590244006,-0.0170174436789238,-0.0355810720502631,-0.0326524828415131,-0.4934362133935792,-0.7614250265760347,-0.0455948766175424,-0.6420669770013774,-0.012687624694081,-1.0570606753317406,-0.0171498482814058,-0.0351091845077462,-0.0270789390051504,-0.2468749841937096,-0.7745682235254208,-0.053371608024463,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-0.7_cy=-0.9_cz=9.0.log,3
-0.6,-0.9,9.0,7.0,4.8,45,-1.3,-2.962647588996333,-0.5965448915376328,-0.0126016558351693,-1.0445920516212936,-0.0178670922323362,-0.0336332809529267,-0.0338711072545265,-0.5281494390947046,-0.7151737745007267,-0.043965233140625,-0.6272382881725207,-0.0127259027940453,-1.0605427283007884,-0.0180095370014896,-0.0332166143489303,-0.02811684057815,-0.2696372819336829,-0.7977584830950946,-0.0516509755980223,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-0.6_cy=-0.9_cz=9.0.log,3
-0.5,-0.9,9.1,7.0,4.8,45,-1.3,-2.8860352068732027,-0.6070017181773437,-0.0120312492508674,-1.0131519180868054,-0.0180358923971653,-0.0303394809889141,-0.0329951033054385,-0.5271002423687605,-0.6216019933344796,-0.0396667896129656,-0.6319923039118294,-0.0121303958148928,-1.025161832003505,-0.0181783371954225,-0.0299912129557924,-0.0276029098895378,-0.2733715939684771,-0.8052622476679971,-0.0464551928162109,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-0.5_cy=-0.9_cz=9.1.log,3
-0.4,-0.9,9.1,7.0,4.8,45,-1.3,-2.8820225941453828,-0.6031682595785242,-0.0120726648892741,-1.0136965967685685,-0.0189395068009616,-0.0287531357171246,-0.0341842347552301,-0.561573131752084,-0.5781858314730925,-0.0382730899291345,-0.6236909741273848,-0.0121523586276452,-1.0260535236739088,-0.0190926192590268,-0.0284393807087326,-0.0286339088052045,-0.298258640570566,-0.7939225144509692,-0.0449548164033331,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-0.4_cy=-0.9_cz=9.1.log,3
-0.3,-0.9,9.1,7.0,4.8,45,-1.3,-2.8770301246040617,-0.600208922434831,-0.0121078054507961,-1.0145437352912268,-0.0198952045757323,-0.0272671920247375,-0.0354072517511667,-0.5962938875163672,-0.5360159044503234,-0.0369239434221526,-0.615923027813551,-0.0121680464217206,-1.0255389654630562,-0.0200621222174959,-0.0269829300086712,-0.0297006758046336,-0.3253162442415487,-0.7762160647835117,-0.0434883255366003,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-0.3_cy=-0.9_cz=9.1.log,3
-0.2,-0.9,9.1,7.0,4.8,45,-1.3,-2.8725020124184084,-0.5985516685323091,-0.0121347884269198,-1.0158357783366228,-0.0209086331888102,-0.0258734922826988,-0.0366660368163138,-0.6308445881295484,-0.49543546026689,-0.0356180951057467,-0.6091798053821549,-0.0121755765285342,-1.0240360790485283,-0.0210893560870317,-0.0256155856914119,-0.030805720918579,-0.3547740736539708,-0.7534023111948045,-0.0420569752459414,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-0.2_cy=-0.9_cz=9.1.log,3
-0.1,-0.9,9.1,7.0,4.8,45,-1.3,-2.869409329490736,-0.5985171554784756,-0.0121561237028799,-1.0175921788904816,-0.0219816753087798,-0.0245651339791947,-0.0379593349498463,-0.6645412476209458,-0.45690383623878,-0.0343542900081956,-0.6038622856431175,-0.0121762040362227,-1.021969688605168,-0.022178085942869,-0.0243304452451411,-0.0319459065940463,-0.386564357788302,-0.7265637085220078,-0.0406570004270179,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=-0.1_cy=-0.9_cz=9.1.log,3
0.0,-0.9,9.1,7.0,4.8,45,-1.3,-2.8683296984090703,-0.6002911262476118,-0.0121699289593379,-1.0197056325123413,-0.0231212334765587,-0.0233345868909964,-0.0392902836028952,-0.6966772897576448,-0.4206400333205238,-0.0331293904746416,-0.6002490830724128,-0.0121699289011303,-1.0197232027858265,-0.0233345868327887,-0.0231206059397663,-0.0331293904309859,-0.4206224630324868,-0.696659719440504,-0.0392909111396875,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=0.0_cy=-0.9_cz=9.1.log,3
0.1,-0.9,9.1,7.0,4.8,45,-1.3,-2.86940619192319,-0.6038986812491203,-0.0121755765576381,-1.0219552558701253,-0.0243304452160373,-0.0221787134505575,-0.0406570004415698,-0.7265812788100448,-0.3865806730464101,-0.0319465341017348,-0.5984713472571457,-0.0121561237465357,-1.0176122591801686,-0.0245645064715063,-0.0219816752942278,-0.0343536624568514,-0.4568850109208142,-0.6645243048551492,-0.0379593349207425,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=0.1_cy=-0.9_cz=9.1.log,3
0.2,-0.9,9.1,7.0,4.8,45,-1.3,-2.872498874894518,-0.6092099258676171,-0.0121755765139823,-1.024026038867305,-0.0256155857350677,-0.0210893560870317,-0.0420563477091491,-0.7534230190649396,-0.3547903889557346,-0.0308050934254424,-0.5985020952502964,-0.0121354158764006,-1.0158583687152714,-0.0258728647895623,-0.0209086331888102,-0.0356180951202986,-0.4954160074266838,-0.6308289003791288,-0.0366660368163138,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=0.2_cy=-0.9_cz=9.1.log,3
0.3,-0.9,9.1,7.0,4.8,45,-1.3,-2.87702635959431,-0.6159475007443689,-0.0121674189140321,-1.025532062878483,-0.0269835575018078,-0.0200627497251844,-0.0434870705212233,-0.7762374001467833,-0.3253319320065202,-0.0297013033123221,-0.6001574666443048,-0.0121078054798999,-1.0145675806561485,-0.0272671920247375,-0.0198958320543169,-0.0369239434221526,-0.5359958241315326,-0.596278827288188,-0.0354072517366148,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=0.3_cy=-0.9_cz=9.1.log,3
0.4,-0.9,9.1,7.0,4.8,45,-1.3,-2.882016632822342,-0.6237097994453507,-0.0121523586276452,-1.0260503861645702,-0.0284393806941807,-0.0190932467521633,-0.0449541888810927,-0.7939438497705851,-0.2982724457833683,-0.028633281297516,-0.6031149212794844,-0.0120726648601703,-1.0137223246711071,-0.0287525082094362,-0.0189395068300655,-0.0382730899436865,-0.5781670061987825,-0.5615586989879375,-0.0341836072475416,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=0.4_cy=-0.9_cz=9.1.log,3
0.5,-0.9,9.1,7.0,4.8,45,-1.3,-2.886029873028747,-0.6320061091391835,-0.0121303958003409,-1.0251624595111934,-0.0299912129266886,-0.0181783371954225,-0.0464545652939705,-0.8052848380320938,-0.2733841441513505,-0.027602909860434,-0.6069496348645771,-0.0120312492508674,-1.013177018481656,-0.0303388534666737,-0.0180365199194056,-0.0396667896275175,-0.6215837955387542,-0.5270858096482698,-0.0329951033490942,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=0.5_cy=-0.9_cz=9.1.log,3
0.6,-0.9,9.0,7.0,4.8,45,-1.3,-2.962634097559203,-0.6272520933998749,-0.0127252752863569,-1.060546493405127,-0.0332159868412418,-0.0180095370014896,-0.05165034806123,-0.7977842110121856,-0.2696504596387967,-0.0281162130413576,-0.5964677078300156,-0.0126010283420328,-1.0446215445990674,-0.0336332809965824,-0.0178670922177843,-0.0439646056329365,-0.7151549491973128,-0.528136261360487,-0.0338711072545265,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=0.6_cy=-0.9_cz=9.0.log,3
0.7,-0.9,9.0,7.0,4.8,45,-1.3,-2.958501944165618,-0.6420751346013276,-0.0126869971863925,-1.0570669504377292,-0.0351085569709539,-0.0171498482959577,-0.0533709805022226,-0.774599599011708,-0.2468862794048618,-0.0270795665419427,-0.6075200414343271,-0.0125432973873103,-1.0452402694500051,-0.0355810719920555,-0.0170174436789238,-0.0455955040961271,-0.7614074562879978,-0.4934230357175693,-0.0326518553338246,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=0.7_cy=-0.9_cz=9.0.log,3
0.8,-0.9,9.0,7.0,4.8,45,-1.3,-2.945382278870966,-0.6558985523879528,-0.0126399339060299,-1.051013988966588,-0.0371410618827212,-0.0163372228707885,-0.0551280084910104,-0.7360968404391315,-0.2261477014108095,-0.0260780605749459,-0.6180421291501261,-0.0124767813540529,-1.0453249833080918,-0.0376757004123646,-0.0162136033613933,-0.0472822509764228,-0.8061401341401506,-0.4596560950594721,-0.0314715090498793,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=0.8_cy=-0.9_cz=9.0.log,3
0.9,-0.9,8.9,7.0,4.8,45,-1.3,-2.937575113166531,-0.6512298780289711,-0.0132354409433901,-1.0824070592498174,-0.0414250726462341,-0.0161634025716921,-0.0615712811704725,-0.5569006922887638,-0.2224328422016697,-0.0264802944584516,-0.6099660754262004,-0.0130440503562567,-1.0764745796914212,-0.0420789380586938,-0.0160391555982641,-0.0527020548470318,-0.9031883206916972,-0.4576148050255142,-0.0321962830785196,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=0.9_cy=-0.9_cz=8.9.log,3
1.0,-0.9,9.0,7.0,4.8,45,-1.3,-2.879803405092389,-0.6777823361335322,-0.0125250995915848,-1.0302986288443208,-0.041679214220494,-0.0148418665194185,-0.0587361910147592,-0.6027967736881692,-0.1904373623256106,-0.0241854904306819,-0.6347081672283821,-0.012324923867709,-1.0418705407500966,-0.0423575525055639,-0.0147351898485794,-0.0508050921343965,-0.8846416351589141,-0.3956544676766498,-0.0292262782459147,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=1.0_cy=-0.9_cz=9.0.log,3
1.1,-0.7,8.9,7.0,4.8,45,-1.3,-2.7910141913962434,-0.657380731034209,-0.0140806968847755,-0.9488654011220206,-0.0475589829147793,-0.0148042159125907,-0.0717990667035337,-0.5558471029798966,-0.1766214746603509,-0.0257862684229621,-0.619051792731625,-0.0138140051421942,-0.9852961216674884,-0.0482235160015989,-0.0147188745468156,-0.0617344338243128,-0.930635608106968,-0.3641986463626381,-0.0316114437737269,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=1.1_cy=-0.7_cz=8.9.log,3
1.2,-0.6,8.9,7.0,4.8,45,-1.3,-2.7083607704917085,-0.6640480247879168,-0.0145061486837221,-0.8658332779450575,-0.0510146804735995,-0.0141603906522504,-0.077555843439768,-0.5644075944001088,-0.1574924597807694,-0.0253871720778988,-0.6292074145603692,-0.0141974137804936,-0.9155954484158428,-0.0516867436963366,-0.0140919920522719,-0.0669471593719208,-0.9367726558848516,-0.3225690054678125,-0.031248115512426,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=1.2_cy=-0.6_cz=8.9.log,3
1.3,-0.5,8.9,7.0,4.8,45,-1.3,-2.627175095411076,-0.6716477983864024,-0.014931600424461,-0.7809211347339442,-0.0547866430861176,-0.0135404108004877,-0.0838278058508876,-0.5780289539834484,-0.140928705848637,-0.0249592102336464,-0.6413704408623744,-0.0145764297922141,-0.839907074754592,-0.0554599613387836,-0.013486444906448,-0.0727070736757014,-0.9379655524389818,-0.2844653432402992,-0.030839606464724,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=1.3_cy=-0.5_cz=8.9.log,3
1.4,-0.4,8.8,7.0,4.8,45,-1.3,-2.527202398465306,-0.6577547269844217,-0.0161991706700064,-0.7321981207933277,-0.0626123202673625,-0.0134004760475363,-0.0997489896253682,-0.4222345362504711,-0.1342281540273688,-0.0258025837247259,-0.6339902957552113,-0.0157705813035136,-0.8007121726404876,-0.0632812459225533,-0.0133571778424084,-0.0863817715580808,-0.9765323170286138,-0.2679430049174698,-0.0322571515716845,Done,C5_a=7.0_b=4.8_theta=45_z=-1.3_cx=1.4_cy=-0.4_cz=8.8.log,3
