theta,A2,b,z,E2,machine_type,status,file_name
30.0,4.0,6.2,0.2,-3.3006272986531258,3,Done,BTBT_theta=30_A2=4_b=6.2_z=0.2_2.log
30.0,4.0,6.3,0.4,-2.9822349997702986,3,Done,BTBT_theta=30_A2=4_b=6.3_z=0.4_2.log
30.0,4.0,6.3,0.6,-3.0156561823096126,3,Done,BTBT_theta=30_A2=4_b=6.3_z=0.6_2.log
30.0,4.0,6.3,0.8,-3.4455883835908026,3,Done,BTBT_theta=30_A2=4_b=6.3_z=0.8_2.log
30.0,4.0,6.2,1.0,-4.001405366230756,3,Done,BTBT_theta=30_A2=4_b=6.2_z=1.0_2.log
30.0,6.0,5.8,-1.0,-5.00355138652958,3,Done,BTBT_theta=30_A2=6_b=5.8_z=-1.0_2.log
30.0,6.0,5.7,-0.8,-5.851800579344854,3,Done,BTBT_theta=30_A2=6_b=5.7_z=-0.8_2.log
30.0,6.0,5.7,-0.6,-6.40196997160092,3,Done,BTBT_theta=30_A2=6_b=5.7_z=-0.6_2.log
30.0,6.0,5.7,-0.4,-6.016904735472053,3,Done,BTBT_theta=30_A2=6_b=5.7_z=-0.4_2.log
30.0,6.0,5.9,-0.2,-4.783301651477814,3,Done,BTBT_theta=30_A2=6_b=5.9_z=-0.2_2.log
30.0,6.0,6.2,0.0,-3.73229770292528,3,Done,BTBT_theta=30_A2=6_b=6.2_z=0.0_2.log
30.0,6.0,6.3,0.2,-3.1576491452287883,3,Done,BTBT_theta=30_A2=6_b=6.3_z=0.2_2.log
30.0,6.0,6.3,0.4,-2.9374245109502226,3,Done,BTBT_theta=30_A2=6_b=6.3_z=0.4_2.log
30.0,6.0,6.4,0.6,-3.28901208890602,3,Done,BTBT_theta=30_A2=6_b=6.4_z=0.6_2.log
30.0,6.0,6.3,0.8,-3.740467883180827,3,Done,BTBT_theta=30_A2=6_b=6.3_z=0.8_2.log
30.0,6.0,6.2,1.0,-4.2875813017599285,3,Done,BTBT_theta=30_A2=6_b=6.2_z=1.0_2.log
30.0,8.0,5.7,-1.0,-5.310246899258345,3,Done,BTBT_theta=30_A2=8_b=5.7_z=-1.0_2.log
30.0,8.0,5.7,-0.8,-6.135554326232523,3,Done,BTBT_theta=30_A2=8_b=5.7_z=-0.8_2.log
30.0,8.0,5.7,-0.6,-6.329586693318561,3,Done,BTBT_theta=30_A2=8_b=5.7_z=-0.6_2.log
30.0,8.0,5.8,-0.4,-5.49347981880419,3,Done,BTBT_theta=30_A2=8_b=5.8_z=-0.4_2.log
30.0,8.0,6.0,-0.2,-4.207686728565022,3,Done,BTBT_theta=30_A2=8_b=6.0_z=-0.2_2.log
30.0,8.0,6.2,0.0,-3.3532753880135715,3,Done,BTBT_theta=30_A2=8_b=6.2_z=0.0_2.log
30.0,8.0,6.3,0.2,-2.9967304808087647,3,Done,BTBT_theta=30_A2=8_b=6.3_z=0.2_2.log
30.0,8.0,6.4,0.4,-3.144653413211927,3,Done,BTBT_theta=30_A2=8_b=6.4_z=0.4_2.log
30.0,8.0,6.3,0.6,-3.4410828622058034,3,Done,BTBT_theta=30_A2=8_b=6.3_z=0.6_2.log
30.0,8.0,6.3,0.8,-4.045858174795285,3,Done,BTBT_theta=30_A2=8_b=6.3_z=0.8_2.log
30.0,8.0,6.2,1.0,-4.496460555586964,3,Done,BTBT_theta=30_A2=8_b=6.2_z=1.0_2.log
30.0,10.0,5.7,-1.0,-5.678557618753985,3,Done,BTBT_theta=30_A2=10_b=5.7_z=-1.0_2.log
30.0,10.0,5.6,-0.8,-6.317312597762793,3,Done,BTBT_theta=30_A2=10_b=5.6_z=-0.8_2.log
