theta,A2,a,b,z,E3,E4,machine_type,status,file_name
60.0,-10.0,5.8,8.5,-0.8,-6.989890365861356,-6.989890365861356,3,Done,BTBT_theta=60_A2=-10_a=5.8_b=8.5_z=-0.8_3.log
60.0,-10.0,5.8,8.5,-0.6,-7.001863256911747,-7.001863256911747,3,Done,BTBT_theta=60_A2=-10_a=5.8_b=8.5_z=-0.6_3.log
60.0,-10.0,5.7,8.5,-0.4,-6.971309794695117,-6.971309794695117,3,Done,BTBT_theta=60_A2=-10_a=5.7_b=8.5_z=-0.4_3.log
60.0,-10.0,5.7,8.5,-0.2,-6.973022896796465,-6.973022896796465,3,Done,BTBT_theta=60_A2=-10_a=5.7_b=8.5_z=-0.2_3.log
60.0,-10.0,5.7,8.5,0.0,-6.946504324674606,-6.946504324674606,3,Done,BTBT_theta=60_A2=-10_a=5.7_b=8.5_z=0.0_3.log
60.0,-10.0,5.7,8.5,0.2,-6.882579880766571,-6.882579880766571,3,Done,BTBT_theta=60_A2=-10_a=5.7_b=8.5_z=0.2_3.log
60.0,-10.0,5.7,8.5,0.4,-6.7810926884412766,-6.7810926884412766,3,Done,BTBT_theta=60_A2=-10_a=5.7_b=8.5_z=0.4_3.log
60.0,-10.0,5.7,8.4,0.6,-6.658721963409334,-6.658721963409334,3,Done,BTBT_theta=60_A2=-10_a=5.7_b=8.4_z=0.6_3.log
60.0,-10.0,5.7,8.4,0.8,-6.499365798896179,-6.499365798896179,3,Done,BTBT_theta=60_A2=-10_a=5.7_b=8.4_z=0.8_3.log
60.0,-10.0,5.7,8.4,1.0,-6.338108279160224,-6.338108279160224,3,Done,BTBT_theta=60_A2=-10_a=5.7_b=8.4_z=1.0_3.log
60.0,-8.0,5.7,8.4,-1.0,-7.17427162907552,-7.17427162907552,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=-1.0_3.log
60.0,-8.0,5.7,8.4,-0.8,-7.213497279328294,-7.213497279328294,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=-0.8_3.log
60.0,-8.0,5.7,8.4,-0.6,-7.256287186057307,-7.256287186057307,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=-0.6_3.log
60.0,-8.0,5.7,8.4,-0.4,-7.289193810545839,-7.289193810545839,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=-0.4_3.log
60.0,-8.0,5.7,8.4,-0.2,-7.29582031595055,-7.29582031595055,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=-0.2_3.log
60.0,-8.0,5.7,8.4,0.0,-7.262863490963355,-7.262863490963355,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=0.0_3.log
60.0,-8.0,5.7,8.4,0.2,-7.18173899827525,-7.18173899827525,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=0.2_3.log
60.0,-8.0,5.7,8.4,0.4,-7.058163453824818,-7.058163453824818,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=0.4_3.log
60.0,-8.0,5.7,8.4,0.6,-6.904034447623417,-6.904034447623417,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=0.6_3.log
60.0,-8.0,5.7,8.4,0.8,-6.737731747329235,-6.737731747329235,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=0.8_3.log
60.0,-8.0,5.7,8.4,1.0,-6.577220964827575,-6.577220964827575,3,Done,BTBT_theta=60_A2=-8_a=5.7_b=8.4_z=1.0_3.log
60.0,-6.0,5.7,8.3,-1.0,-7.3093368815025315,-7.3093368815025315,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=-1.0_3.log
60.0,-6.0,5.7,8.3,-0.8,-7.383006555377506,-7.383006555377506,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=-0.8_3.log
60.0,-6.0,5.7,8.3,-0.6,-7.457799472380429,-7.457799472380429,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=-0.6_3.log
60.0,-6.0,5.7,8.3,-0.4,-7.513415683642961,-7.513415683642961,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=-0.4_3.log
60.0,-6.0,5.7,8.3,-0.2,-7.530364728765562,-7.530364728765562,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=-0.2_3.log
60.0,-6.0,5.7,8.3,0.0,-7.493849921855144,-7.493849921855144,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=0.0_3.log
60.0,-6.0,5.7,8.3,0.2,-7.401285921805538,-7.401285921805538,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=0.2_3.log
60.0,-6.0,5.7,8.3,0.4,-7.2639804584905505,-7.2639804584905505,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=0.4_3.log
60.0,-6.0,5.7,8.3,0.6,-7.101072587654926,-7.101072587654926,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=0.6_3.log
60.0,-6.0,5.7,8.3,0.8,-6.933816072298214,-6.933816072298214,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=0.8_3.log
60.0,-6.0,5.7,8.3,1.0,-6.782454385072924,-6.782454385072924,3,Done,BTBT_theta=60_A2=-6_a=5.7_b=8.3_z=1.0_3.log
60.0,-4.0,5.7,8.3,-1.0,-7.305816550273448,-7.305816550273448,3,Done,BTBT_theta=60_A2=-4_a=5.7_b=8.3_z=-1.0_3.log
60.0,-4.0,5.7,8.3,-0.8,-7.415436272392981,-7.415436272392981,3,Done,BTBT_theta=60_A2=-4_a=5.7_b=8.3_z=-0.8_3.log
60.0,-4.0,5.7,8.3,-0.6,-7.518605191376992,-7.518605191376992,3,Done,BTBT_theta=60_A2=-4_a=5.7_b=8.3_z=-0.6_3.log
60.0,-4.0,5.7,8.3,-0.4,-7.591722656507045,-7.591722656507045,3,Done,BTBT_theta=60_A2=-4_a=5.7_b=8.3_z=-0.4_3.log
60.0,-4.0,5.7,8.3,-0.2,-7.614927976508625,-7.614927976508625,3,Done,BTBT_theta=60_A2=-4_a=5.7_b=8.3_z=-0.2_3.log
60.0,-4.0,5.7,8.2,0.0,-7.61098721367307,-7.61098721367307,3,Done,BTBT_theta=60_A2=-4_a=5.7_b=8.2_z=0.0_3.log
60.0,-4.0,5.7,8.2,0.2,-7.510911918827333,-7.510911918827333,3,Done,BTBT_theta=60_A2=-4_a=5.7_b=8.2_z=0.2_3.log
60.0,-4.0,5.7,8.2,0.4,-7.366151636932045,-7.366151636932045,3,Done,BTBT_theta=60_A2=-4_a=5.7_b=8.2_z=0.4_3.log
60.0,-4.0,5.7,8.2,0.6,-7.204473685473204,-7.204473685473204,3,Done,BTBT_theta=60_A2=-4_a=5.7_b=8.2_z=0.6_3.log
60.0,-4.0,5.8,8.2,0.8,-7.1451614405959845,-7.1451614405959845,3,Done,BTBT_theta=60_A2=-4_a=5.8_b=8.2_z=0.8_3.log
60.0,-4.0,5.8,8.2,1.0,-7.024974450003356,-7.024974450003356,3,Done,BTBT_theta=60_A2=-4_a=5.8_b=8.2_z=1.0_3.log
60.0,-2.0,5.8,8.2,-1.0,-7.278074333211407,-7.278074333211407,3,Done,BTBT_theta=60_A2=-2_a=5.8_b=8.2_z=-1.0_3.log
60.0,-2.0,5.8,8.2,-0.8,-7.423135819961317,-7.423135819961317,3,Done,BTBT_theta=60_A2=-2_a=5.8_b=8.2_z=-0.8_3.log
60.0,-2.0,5.8,8.2,-0.6,-7.553683000383899,-7.553683000383899,3,Done,BTBT_theta=60_A2=-2_a=5.8_b=8.2_z=-0.6_3.log
