a,b,theta,E,E_p1,E_p2,E_t1,machine_type,status,file_name
8.6,7.1,30,-23.79834185075015,-1.6820280046667904,-0.1379392482340335,-5.039601836237125,3,Done,DBTP_theta=30_a=8.6_b=7.1.log
8.6,7.3,30,-23.5863564228639,-1.635485588107258,-0.1379392482340335,-5.009876687545329,3,Done,DBTP_theta=30_a=8.6_b=7.3.log
8.8,6.9,30,-23.24829168478027,-1.616039053304121,-0.1141315188724547,-4.94698763510678,3,Done,DBTP_theta=30_a=8.8_b=6.9.log
8.8,7.3,30,-22.853901650290936,-1.635485588107258,-0.1141315188724547,-4.838666859082878,3,Done,DBTP_theta=30_a=8.8_b=7.3.log
9.0,6.9,30,-22.567694338504225,-1.616039053304121,-0.0943900540005415,-4.786709030973725,3,Done,DBTP_theta=30_a=9.0_b=6.9.log
9.0,7.1,30,-22.40720238070935,-1.6820280046667904,-0.0943900540005415,-4.713591565843672,3,Done,DBTP_theta=30_a=9.0_b=7.1.log
9.0,7.3,30,-21.915799300652,-1.635485588107258,-0.0943900540005415,-4.6140120041091,3,Done,DBTP_theta=30_a=9.0_b=7.3.log
3.7,14.5,30,-13.222351061645895,-0.0092118468601256,-6.334280468290672,-0.1338416078360751,3,Done,DBTP_theta=30_a=3.7_b=14.5.log
3.7,14.7,30,-14.455295260064304,-0.0083145073149353,-6.334280468290672,-0.4425263272132724,3,Done,DBTP_theta=30_a=3.7_b=14.7.log
3.7,14.9,30,-15.321033156942576,-0.0075112949125468,-6.334280468290672,-0.6593624076340348,3,Done,DBTP_theta=30_a=3.7_b=14.9.log
3.9,14.5,30,-18.990786938462406,-0.0092118468601256,-8.699547636089846,-0.3933169931406155,3,Done,DBTP_theta=30_a=3.9_b=14.5.log
3.9,14.9,30,-20.58442388381809,-0.0075112949125468,-8.699547636089846,-0.7925765054533258,3,Done,DBTP_theta=30_a=3.9_b=14.9.log
4.1,14.5,30,-20.61067890189588,-0.0092118468601256,-9.071780293015763,-0.6121736555360258,3,Done,DBTP_theta=30_a=4.1_b=14.5.log
4.1,14.7,30,-21.310390202328563,-0.0083145073149353,-9.071780293015763,-0.7875501504167914,3,Done,DBTP_theta=30_a=4.1_b=14.7.log
4.1,14.9,30,-21.768095997627825,-0.0075112949125468,-9.071780293015763,-0.9023782054428012,3,Done,DBTP_theta=30_a=4.1_b=14.9.log
6.9,8.4,10,-23.28943123994395,-0.3178149894811213,-0.3773029376752674,-5.4747988464077935,3,Done,DBTP_theta=10_a=6.9_b=8.4.log
7.1,8.4,10,-23.507064257748425,-0.3178149894811213,-0.3025727716740221,-5.566572183859535,3,Done,DBTP_theta=10_a=7.1_b=8.4.log
