a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,machine_type,status,file_name
5.9,8.4,61.5,5,-9,80.1,-52.35305889719166,-0.3967118217842653,-7.102804515161552,-9.315875407657586,-9.361137703992426,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.9_b=8.4_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,8.2,61.5,5,-9,79.0,-52.26840779953636,-0.4712913855910301,-6.838371801073663,-9.358759441180156,-9.465781271923332,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=6.0_b=8.2_phi_r=79_cx=0_cy=0_cz=0.log
6.0,8.2,61.5,5,-9,80.0,-52.45639724610373,-0.4704442470101639,-6.8452618612209335,-9.449760941555724,-9.462731573265046,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=6.0_b=8.2_phi_r=80_cx=0_cy=0_cz=0.log
6.0,8.2,61.5,5,-9,80.1,-52.47193439397961,-0.4703501206822693,-6.845970947411843,-9.45742911391426,-9.462217014981434,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=6.0_b=8.2_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,8.3,61.5,5,-9,79.0,-52.071168856695294,-0.4325802936218679,-6.838371801073663,-9.330973298521712,-9.433659035130404,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=6.0_b=8.3_phi_r=79_cx=0_cy=0_cz=0.log
6.0,8.3,61.5,5,-9,80.0,-52.22867386601865,-0.4318084561964497,-6.8452618612209335,-9.400796336121855,-9.436470279470086,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=6.0_b=8.3_phi_r=80_cx=0_cy=0_cz=0.log
6.0,8.3,61.5,5,-9,80.1,-52.24162567243911,-0.4317206050036475,-6.845970947411843,-9.40655687788967,-9.436564405914396,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=6.0_b=8.3_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,8.4,61.5,5,-9,79.0,-51.69611867913045,-0.3974962095962837,-6.838371801073663,-9.255320692667738,-9.35687063622754,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=6.0_b=8.4_phi_r=79_cx=0_cy=0_cz=0.log
6.0,8.4,61.5,5,-9,80.0,-51.82685411232524,-0.3967933980748057,-6.8452618612209335,-9.306902014650404,-9.364469782216474,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=6.0_b=8.4_phi_r=80_cx=0_cy=0_cz=0.log
6.0,8.4,61.5,5,-9,80.1,-51.83753433288075,-0.3967118217842653,-6.845970947411843,-9.311012205551378,-9.365072191692889,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=6.0_b=8.4_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-11,79.0,-52.53366882679984,-0.4644264259841293,-7.282121772877872,-9.149616633425468,-9.370669581112452,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=79_cx=0_cy=0_cz=0.log
